,price,bathrooms,bedrooms,city,homeType,livingArea,zipcode,priceReduction,daysOnZillow,latitude,longitude,30_year_mortgage
367,1599000.0,4.0,6.0,Springville,SINGLE_FAMILY,5502.0,84663,,12,40.15747,-111.61602,10547.063911279263
368,620000.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,3012.0,84045,,12,40.411667,-111.92835,4089.543230139552
369,514900.0,2.0,3.0,Eagle Mountain,SINGLE_FAMILY,1540.0,84005,,12,,,3396.2996922562183
370,465000.0,3.0,4.0,Payson,SINGLE_FAMILY,2768.0,84651,,12,40.03056,-111.72788,3067.1574226046637
371,651650.0,2.0,2.0,Mapleton,TOWNHOUSE,1923.0,84664,,12,,,4298.307816000708
372,595000.0,2.0,3.0,Alpine,SINGLE_FAMILY,2189.0,84004,,12,40.457077,-111.77242,3924.6422934403763
374,350000.0,3.0,3.0,Santaquin,TOWNHOUSE,1861.0,84655,,12,39.975616,-111.79245,2308.6131137884568
375,1100000.0,4.0,7.0,Lindon,SINGLE_FAMILY,5054.0,84042,,12,40.343437,-111.69079,7255.641214763721
376,361990.0,2.0,3.0,Spanish Fork,TOWNHOUSE,1399.0,84660,,-1,40.09435,-111.5975,2387.6996030293817
380,1900000.0,4.0,7.0,Cedar Hills,SINGLE_FAMILY,6131.0,84062,,12,40.41578,-111.75059,12532.471189137335
381,574990.0,3.0,4.0,American Fork,SINGLE_FAMILY,2577.0,84003,,-1,40.359512,-111.80194,3792.6555837063565
382,578900.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,1824.0,84045,,-1,40.4119,-111.9299,3818.446090206108
383,399000.0,2.0,3.0,Springville,TOWNHOUSE,1388.0,84663,,12,40.154915,-111.60211,2631.8189497188405
384,399000.0,2.0,3.0,Springville,TOWNHOUSE,1388.0,84663,,12,40.154915,-111.60222,2631.8189497188405
385,1290000.0,4.0,6.0,Alpine,SINGLE_FAMILY,4351.0,84004,"$60,000 (Nov 8)",-1,40.43941,-111.76426,8508.888333677454
386,380000.0,2.0,3.0,American Fork,TOWNHOUSE,1383.0,84003,,13,40.367004,-111.82442,2506.4942378274673
388,699000.0,2.0,3.0,Orem,SINGLE_FAMILY,3270.0,84058,"$21,000 (Nov 6)",-1,40.288513,-111.701294,4610.630190108946
389,539900.0,3.0,3.0,Eagle Mountain,SINGLE_FAMILY,3492.0,84005,"$10,000 (Nov 6)",13,,,3561.2006289553933
390,799900.0,3.0,5.0,Saratoga Springs,SINGLE_FAMILY,4445.0,84045,"$19,000 (Nov 6)",13,,,5276.170370626818
391,449900.0,2.0,3.0,Eagle Mountain,SINGLE_FAMILY,2278.0,84005,"$10,000 (Nov 6)",13,40.29842,-112.01501,2967.557256838362
392,489900.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,3017.0,84005,"$10,000 (Nov 6)",13,40.29842,-112.01501,3231.3987555570425
